insc,nota1,nota2,nota3,nota4,red
1131944,316.767,272.399,376.886,430.788,750
1097634,273.300,272.399,454.679,430.788,700
1135807,229.834,335.759,532.473,430.788,725
1133645,316.767,367.439,454.679,397.488,600
1121732,403.701,430.799,415.782,430.788,775
1135606,273.300,272.399,493.576,364.187,475
1121593,316.767,272.399,454.679,497.388,700
1131575,447.168,304.079,337.989,430.788,700
1138455,403.701,272.399,376.886,430.788,650
1114266,360.234,367.439,493.576,497.388,700
1111870,490.635,304.079,299.092,497.388,750
1134400,403.701,304.079,454.679,530.688,500
1130675,447.168,304.079,376.886,464.088,750
1137223,316.767,335.759,337.989,397.488,650
1131608,273.300,304.079,415.782,430.788,675
1109443,229.834,367.439,376.886,397.488,725
1123108,403.701,399.119,376.886,497.388,100
1116692,447.168,367.439,337.989,397.488,725
1118176,229.834,335.759,571.370,530.688,725
1116005,142.900,399.119,415.782,430.788,550
1109572,534.102,525.840,493.576,497.388,700
1138594,534.102,399.119,415.782,430.788,700
1124288,273.300,367.439,376.886,430.788,500
1135450,229.834,304.079,493.576,430.788,450
1125219,360.234,335.759,376.886,464.088,650
1106164,360.234,367.439,454.679,430.788,725
1137610,490.635,462.480,454.679,430.788,575
1123398,273.300,367.439,376.886,430.788,700
1116078,229.834,367.439,376.886,430.788,700
1086749,316.767,335.759,454.679,397.488,700
1078227,273.300,367.439,532.473,464.088,750
1138555,403.701,399.119,376.886,430.788,100
1121765,360.234,304.079,571.370,497.388,700
1134537,360.234,272.399,415.782,430.788,500
1076582,316.767,367.439,454.679,563.988,650
1101235,316.767,367.439,454.679,464.088,725
1099077,403.701,462.480,454.679,497.388,775
1085027,403.701,367.439,299.092,430.788,525
1088066,360.234,335.759,454.679,464.088,750
1123586,403.701,335.759,376.886,364.187,775
1108896,621.036,557.520,454.679,464.088,725
1138330,403.701,399.119,337.989,430.788,650
1088082,490.635,367.439,376.886,430.788,800
1116624,229.834,304.079,376.886,464.088,600
1135636,273.300,430.799,454.679,497.388,675
1114300,316.767,304.079,454.679,430.788,750
1128347,273.300,240.719,337.989,397.488,700
1118069,273.300,335.759,649.164,397.488,650
1103661,360.234,367.439,376.886,530.688,675
1085238,360.234,304.079,610.267,397.488,725
1114288,490.635,367.439,454.679,464.088,775
1080137,273.300,272.399,415.782,497.388,625
1108300,273.300,367.439,415.782,430.788,100
1127379,360.234,272.399,376.886,364.187,650
1136814,403.701,367.439,493.576,464.088,700
1131037,447.168,430.799,415.782,430.788,725
1114778,229.834,367.439,415.782,430.788,725
1135913,360.234,335.759,376.886,497.388,650
